morph,llength,lwidth,elevation,lat,larea
occidentale_lacustre,1.044683946642554,-1.2207799226423173,0.403,47.675918,-0.41766045127025364
occidentale_lacustre,1.128171090909654,-0.7911275896554432,0.403,47.675918,0.09547902598372046
occidentale_lacustre,0.9082585601768908,-1.0498221244986778,0.403,47.675918,-0.38312803959227737
occidentale_lacustre,1.221812722356035,-1.05939157455329,0.403,47.675918,-0.0791433274677453
occidentale_lacustre,1.415853163361435,-0.7031975164134467,0.403,47.675918,0.47109117167749787
occidentale_occidentale,0.763916251603432,-0.3378064601016393,2.14,42.59158335,0.18454531623130233
occidentale_occidentale,-0.05129329438755058,-1.3470736479666092,2.14,42.59158335,-1.6399314176246502
occidentale_occidentale,0.3920420877760237,-0.8556661100577202,2.14,42.59158335,-0.7051884975521869
occidentale_occidentale,-0.3011050927839216,-1.2039728043259361,2.14,42.59158335,-1.7466423723803481
occidentale_occidentale,0.8671004876833833,-0.6348782724359695,2.14,42.59158335,-0.009342260023076603
occidentale_occidentale,1.0885619528146082,-0.18632957819149348,2.14,42.59158335,0.6606678993526244
occidentale_occidentale,-0.07257069283483537,-1.3862943611198906,2.14,42.59158335,-1.7004295292252165
occidentale_occidentale,0.41871033485818504,-1.3093333199837622,2.14,42.59158335,-1.1321874603960678
occidentale_occidentale,-0.5108256237659907,-1.4696759700589417,2.14,42.59158335,-2.222066069095423
occidentale_occidentale,0.8671004876833833,-0.3285040669720361,2.14,42.59158335,0.2970319454408567
occidentale_occidentale,0.30010459245033816,-0.7133498878774648,2.14,42.59158335,-0.6548097706976171
occidentale_occidentale,0.13976194237515863,-1.1086626245216111,2.14,42.59158335,-1.210465157416943
occidentale_occidentale,0.412109650826833,-1.0356374895067213,2.14,42.59158335,-0.8650923139503787
occidentale_occidentale,0.4637340162321402,-1.2378743560016174,2.14,42.59158335,-1.0157048150399677
occidentale_occidentale,0.7275486072772777,-0.6931471805599453,2.14,42.59158335,-0.20716304855315815
occidentale_occidentale,-0.5447271754416722,-1.8971199848858813,2.14,42.59158335,-2.683411635598044
occidentale_occidentale,0.15128944725969312,-1.1499055820030286,2.14,42.59158335,-1.240180610013826
occidentale_occidentale,0.009950330853168092,-1.0788096613719298,2.14,42.59158335,-1.3104238057892523
occidentale_occidentale,0.6151856390902335,-0.5621189181535413,2.14,42.59158335,-0.18849775433379826
occidentale_occidentale,0.494696241836107,-0.5978370007556204,2.14,42.59158335,-0.3447052341900039
occidentale_occidentale,0.8878912573524571,-0.23572233352106983,2.14,42.59158335,0.41060444856089684
